Tag	GSM257871	GSM257872	GSM257873	GSM257874
ABCB11	6.39102013163987	5.92042193637198	4.07088731522217	5.95562201224884
ABCB4	5.67028517209867	5.36388944168952	4.9009778731145	2.95475280409883
ABCB6	4.51299797224117	5.25539875895265	5.25565179278319	5.09820898654248
ABCB7	9.80287497485812	9.46473768849806	9.82923594156456	9.90727826780964
ABCB8	5.80895388140622	5.12075005333493	5.56622456302109	5.58672571861691
ABCB9	3.93268484333639	5.28646720048607	6.70672393033358	6.71823831360006
ABCC1	9.2761313860398	9.13539121693803	8.81095073418199	9.47698713920209
ABCC10	7.87387470348735	7.73151590303262	7.62508049473811	7.3248465983567
ABCC2	7.38937751445109	7.32026804087623	7.02384304652176	5.92773056269866
ABCC3	3.5222692241018	5.15911246123086	3.74046349251944	3.72092414020618
ABCC4	9.94183258282553	9.93327755428935	9.3569976921209	9.3720314072309
ABCC5	8.35764436933162	8.16855178407485	8.21263256236949	8.52328358314816
ABCC8	4.93204226798267	3.36758353996884	3.75098159965399	4.80998029778293
ABCC9	5.72447019643927	5.15126216948464	5.30421896871636	4.33134693427069
ABCD1	8.07342395175918	8.37242108563889	8.30236018142996	8.69896505753739
ABCD2	2.20564586953277	2.77546990538157	4.98576453590319	1.42300259161584
ABCD3	9.50163220814952	9.61298641390577	9.61463623534758	9.76014441771644
ABCD4	5.71085326027247	5.5297178932024	7.10299399332333	6.31827525929973
ABCE1	11.6712801019476	11.7135927222423	11.4429072207329	11.5338358523043
